FileName,JobID,JobName,Partition,State,ExitCode,Start,End,Elapsed,NCPUS,NNodes,NodeList,ReqMem,MaxRSS,AllocCPUS,Timelimit,TotalCPU
2 5 5_1 1 1_1 1 1_1 1 1_0.6 0.3 0.1_0.3 0.6 0.1_0.1 0.1 0.8_with_1000_sims.log,530634,port_elec+,batch,COMPLETED,0:0,2024-02-07T16:14:30,2024-02-07T18:37:19,02:22:49,8,4,c1cmp[019-022],120G,2774332K,8,2-00:00:00,02:22:39
2 5 5_1 1 1_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,530609,port_elec+,batch,COMPLETED,0:0,2024-02-07T13:10:37,2024-02-07T14:51:16,01:40:39,8,4,"c1cmp003,p1cmp+",120G,2865364K,8,2-00:00:00,01:40:30
2 5 5_1 1 1_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,500126,port_elec+,batch,COMPLETED,0:0,2024-02-07T01:21:51,2024-02-07T03:47:32,02:25:41,8,4,c1cmp[019-022],120G,2806388K,8,2-00:00:00,02:25:32
2 5 5_1 1 1_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_10_sims.log,529564,port_elec+,batch,COMPLETED,0:0,2024-02-07T11:16:54,2024-02-07T11:17:48,00:00:54,8,4,"p1cmp[029,043-+",120G,664884K,8,2-00:00:00,00:53.938
2 5 5_1 1 1_1 1 1_1 1 1_0.8 0.1 0.1_0.8 0.1 0.1_0.1 0.1 0.8_with_1000_sims.log,530617,port_elec+,batch,COMPLETED,0:0,2024-02-07T13:49:04,2024-02-07T16:14:01,02:24:57,8,4,c1cmp[019-022],120G,2582456K,8,2-00:00:00,02:24:47
2 5 5_1 1 1_1 1 1_1 2 2_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,505882,port_elec+,batch,COMPLETED,0:0,2024-02-07T04:07:59,2024-02-07T06:32:27,02:24:28,8,4,"c1cmp[010-012,+",120G,2850532K,8,2-00:00:00,02:24:18
2 5 5_1 1 1_1 1 1_1 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,505884,port_elec+,batch,COMPLETED,0:0,2024-02-07T04:26:23,2024-02-07T06:39:41,02:13:18,8,4,"c1cmp[022-024,+",120G,2802432K,8,2-00:00:00,02:13:05
2 5 5_1 1 1_1 1 1_2 2 2_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,530652,port_elec+,batch,COMPLETED,0:0,2024-02-07T18:28:49,2024-02-07T20:55:50,02:27:01,8,4,"c1cmp[010,014-+",120G,2806904K,8,2-00:00:00,02:26:52
2 5 5_1 1 1_1 1 1_2 2 2_0.45 0.45 0.1_0.45 0.45 0.1_0.1 0.1 0.8_with_1000_sims.log,530678,port_elec+,batch,COMPLETED,0:0,2024-02-07T21:25:47,2024-02-07T23:07:30,01:41:43,8,4,"c1cmp[003,006-+",120G,2779560K,8,2-00:00:00,01:41:34
2 5 5_1 1 1_1 1 1_2 2 2_0.6 0.3 0.1_0.3 0.6 0.1_0.1 0.1 0.8_with_1000_sims.log,530686,port_elec+,batch,COMPLETED,0:0,2024-02-07T22:53:28,2024-02-08T01:05:13,02:11:45,8,4,"c1cmp[022-024,+",120G,2761.50M,8,2-00:00:00,02:11:29
2 5 5_1 1 1_1 1 1_2 2 2_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,530661,port_elec+,batch,COMPLETED,0:0,2024-02-07T19:04:26,2024-02-07T21:29:11,02:24:45,8,4,c1cmp[010-011]+,120G,2863076K,8,2-00:00:00,02:24:34
2 5 5_1 1 1_1 1 1_2 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,530643,port_elec+,batch,COMPLETED,0:0,2024-02-07T16:45:34,2024-02-07T19:14:12,02:28:38,8,4,c1cmp[006-008]+,120G,2807848K,8,2-00:00:00,02:28:28
2 5 5_1 1 1_1 1 1_2 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_10_sims.log,529566,port_elec+,batch,COMPLETED,0:0,2024-02-07T11:16:54,2024-02-07T11:18:41,00:01:47,8,4,"c1cmp034,p1cmp+",120G,901640K,8,2-00:00:00,01:43.729
2 5 5_1 1 1_1 1 1_2 2 2_0.8 0.1 0.1_0.8 0.1 0.1_0.1 0.1 0.8_with_1000_sims.log,530670,port_elec+,batch,COMPLETED,0:0,2024-02-07T20:43:11,2024-02-07T23:01:48,02:18:37,8,4,"c1cmp[023-024,+",120G,2588200K,8,2-00:00:00,02:18:25
2 5 5_1 1 1_2 2 2_1 1 1_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,530702,port_elec+,batch,COMPLETED,0:0,2024-02-08T00:43:13,2024-02-08T02:22:43,01:39:30,8,4,"c1cmp[003,014-+",120G,2851952K,8,2-00:00:00,01:39:15
2 5 5_1 1 1_2 2 2_1 1 1_0.45 0.45 0.1_0.45 0.45 0.1_0.1 0.1 0.8_with_1000_sims.log,530727,port_elec+,batch,COMPLETED,0:0,2024-02-08T03:49:05,2024-02-08T05:01:46,01:12:41,8,4,"p1cmp[029,043-+",120G,2777964K,8,2-00:00:00,01:12:38
2 5 5_1 1 1_2 2 2_1 1 1_0.6 0.3 0.1_0.3 0.6 0.1_0.1 0.1 0.8_with_1000_sims.log,530735,port_elec+,batch,COMPLETED,0:0,2024-02-08T05:02:12,2024-02-08T06:14:22,01:12:10,8,4,"p1cmp[029,043-+",120G,2806712K,8,2-00:00:00,01:12:07
2 5 5_1 1 1_2 2 2_1 1 1_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,530710,port_elec+,batch,COMPLETED,0:0,2024-02-08T01:38:50,2024-02-08T03:51:02,02:12:12,8,4,c1cmp[014-015]+,120G,2826468K,8,2-00:00:00,02:12:03
2 5 5_1 1 1_2 2 2_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,530694,port_elec+,batch,COMPLETED,0:0,2024-02-07T23:07:30,2024-02-08T00:46:44,01:39:14,8,4,p1cmp[008-011],120G,2805312K,8,2-00:00:00,01:39:09
2 5 5_1 1 1_2 2 2_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_10_sims.log,529568,port_elec+,batch,COMPLETED,0:0,2024-02-07T11:16:54,2024-02-07T11:18:47,00:01:53,8,4,c1cmp[006-008]+,120G,902892K,8,2-00:00:00,01:50.140
2 5 5_1 1 1_2 2 2_1 1 1_0.8 0.1 0.1_0.8 0.1 0.1_0.1 0.1 0.8_with_1000_sims.log,530718,port_elec+,batch,COMPLETED,0:0,2024-02-08T02:50:58,2024-02-08T05:15:41,02:24:43,8,4,c1cmp[006-007]+,120G,2606952K,8,2-00:00:00,02:24:33
2 5 5_1 1 1_2 2 2_2 2 2_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,530753,port_elec+,batch,COMPLETED,0:0,2024-02-08T06:55:25,2024-02-08T09:18:11,02:22:46,8,4,c1cmp[019-021]+,120G,2869604K,8,2-00:00:00,02:22:37
2 5 5_1 1 1_2 2 2_2 2 2_0.45 0.45 0.1_0.45 0.45 0.1_0.1 0.1 0.8_with_1000_sims.log,530777,port_elec+,batch,COMPLETED,0:0,2024-02-08T10:11:13,2024-02-08T12:22:50,02:11:37,8,4,"c1cmp[008,010-+",120G,2782888K,8,2-00:00:00,02:11:27
2 5 5_1 1 1_2 2 2_2 2 2_0.6 0.3 0.1_0.3 0.6 0.1_0.1 0.1 0.8_with_1000_sims.log,530785,port_elec+,batch,COMPLETED,0:0,2024-02-08T11:03:18,2024-02-08T13:23:32,02:20:14,8,4,c1cmp[010-012]+,120G,2817060K,8,2-00:00:00,02:20:06
2 5 5_1 1 1_2 2 2_2 2 2_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,530761,port_elec+,batch,COMPLETED,0:0,2024-02-08T07:59:31,2024-02-08T10:10:46,02:11:15,8,4,"c1cmp[008,014-+",120G,2869420K,8,2-00:00:00,02:11:05
2 5 5_1 1 1_2 2 2_2 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,530743,port_elec+,batch,COMPLETED,0:0,2024-02-08T05:56:18,2024-02-08T08:21:01,02:24:43,8,4,c1cmp[010-012]+,120G,2846056K,8,2-00:00:00,02:24:34
2 5 5_1 1 1_2 2 2_2 2 2_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_10_sims.log,529570,port_elec+,batch,COMPLETED,0:0,2024-02-07T11:16:54,2024-02-07T11:18:46,00:01:52,8,4,c1cmp[019-022],120G,901260K,8,2-00:00:00,01:48.959
2 5 5_1 1 1_2 2 2_2 2 2_0.8 0.1 0.1_0.8 0.1 0.1_0.1 0.1 0.8_with_1000_sims.log,530769,port_elec+,batch,COMPLETED,0:0,2024-02-08T09:02:37,2024-02-08T11:13:07,02:10:30,8,4,c1cmp[022-024]+,120G,2580424K,8,2-00:00:00,02:10:15
2 5 5_2 2 2_1 1 1_1 1 1_0.4 0.3 0.3_0.3 0.4 0.3_0.3 0.3 0.4_with_1000_sims.log,530801,port_elec+,batch,COMPLETED,0:0,2024-02-08T13:00:58,2024-02-08T14:32:07,01:31:09,8,4,c1cmp[053-054]+,120G,2863132K,8,2-00:00:00,01:30:54
2 5 5_2 2 2_1 1 1_1 1 1_0.45 0.45 0.1_0.45 0.45 0.1_0.1 0.1 0.8_with_1000_sims.log,530828,port_elec+,batch,COMPLETED,0:0,2024-02-08T16:04:59,2024-02-08T18:29:57,02:24:58,8,4,c1cmp[010-012]+,120G,2784952K,8,2-00:00:00,02:24:48
2 5 5_2 2 2_1 1 1_1 1 1_0.6 0.3 0.1_0.3 0.6 0.1_0.1 0.1 0.8_with_1000_sims.log,530836,port_elec+,batch,COMPLETED,0:0,2024-02-08T17:13:12,2024-02-08T18:51:31,01:38:19,8,4,c1cmp[003-004]+,120G,2825364K,8,2-00:00:00,01:38:10
2 5 5_2 2 2_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.45 0.45_0.1 0.45 0.45_with_1000_sims.log,530810,port_elec+,batch,COMPLETED,0:0,2024-02-08T14:10:04,2024-02-08T16:32:23,02:22:19,8,4,c1cmp[010-012]+,120G,2859084K,8,2-00:00:00,02:22:11
2 5 5_2 2 2_1 1 1_1 1 1_0.8 0.1 0.1_0.1 0.8 0.1_0.1 0.1 0.8_with_1000_sims.log,530793,port_elec+,batch,COMPLETED,0:0,2024-02-08T12:10:24,2024-02-08T14:36:05,02:25:41,8,4,"c1cmp[006-007,+",120G,2811100K,8,2-00:00:00,02:25:32
